A New Player in Town,Get more than 100 points,Get more than 100 points
Grabbled,Get more than 1000 points,Get more than 1000 points
It's OVER 9000!,Get more than 9000 points,Get more than 9000 points
Obsessed,Get more than 50000 points,Get a lot of points..
Maniac!,Get more than 100000 points,Get a great deal of points..
Walker,Walk 1km. Easy.,Walk 1km.
Runner,Walk 10km. Hmph.,Walk 10km.
Marathon Runner,Olympics here I come!,Walk 42km.
Flash,Guess Who Didn't Skip LEG DAY?,Run! Forrest! Run!
Traveler,You must be a CHEATER to unlock this.,Run 500km! This should be easy!
Toddler,Played low score words 3 times in a row..,It's not easy playing dumb.
Bachelor,Played high score words 3 times in a row!,Show everyone your scrabble skill!
Clueless,"Played ""ABCDEFG"" ..","""Daddy, how do I play this game?"""
Still Clueless,"Played ""GRABBLE"" ..","""The game title has 7 letters!"""
Madness?,THIS IS SPARTAN!!!,This is blasphemy!
Realm of Freedom,America! ____Yea!,Show how patriotic you are.
Monkey Lover,"Played ""Monkeys"" 3 times in a row!",Reserved for monkey lovers.
Gorillaphilia,"Played ""Gorilla"" 3 times in a row!",Seriously? Seriously?
Planet Apes: the Musical,"Played Secret Word 1: ""DrZaius""!",Help me! _______!
The Gorilla Savior,"Played Secret Word 2: ""Harambe""!",_______ took a shot for you.
